,chisq,df,p
SEC31B,4.17573281,1,0.041006825
GAD1,3.60227547,1,0.057700542
SLC22A3,7.28730483,1,0.006944358
SRRD,4.15020240,1,0.04162955
FBXL3,2.7806801774925,1,0.0954076419154647
ZNF862,0.851437279368855,1,0.35614605617315
TLX1,0.218755022756314,1,0.639990170197918
TSPAN1,0.865164956760126,1,0.352297340022014
RSRP1,0.741763369732335,1,0.38909659281875
PFDN5,2.07431962870025,1,0.14979672440871
REG4,0.226871492322426,1,0.63385333562193
PAPSS1,2.99055008998354,1,0.0837517135248397
INPP5E,0.597235001063791,1,0.439634947333649
DDAH1,0.636791788459871,1,0.424874930294177
SLC13A3,0.18698450532896,1,0.665438328193764
LZIC,0.340949620359597,1,0.559281595288432
CTHRC1,0.0382589781496066,1,0.844924024339861
CACNB3,1.90268135304154,1,0.167778497165935
KIFC2,0.108398903086411,1,0.741974376634858
SLC35G1,1.68291294968398,1,0.194537839272293
SLC2A4,0.373081478322779,1,0.541329371065024
JAG2,0.567822679033853,1,0.451125425213008
TRIM13,0.0187133798895476,1,0.891191368604567
NPTXR,0.232568900561931,1,0.629625535150753
GLOBAL,15.9440866183118,20,0.720086921337535
